Dates,Location,State,Notes
6/6,Corpus Christi,TX,Trip begins – depart early morning
6/6–6/7,Tucson,AZ,Drive day + overnight recharge
6/7–6/8,Grand Canyon,AZ,National Park + scenic content
6/8–6/9,Los Angeles,CA,Visit Laurent (1 day)
6/9–6/10,Santa Barbara → Big Sur,CA,Coastal beach drive north
6/10–6/11,Redwoods,CA,1.5-day stay in the forest
6/11–6/12,Colfax,WA,Visit Stefan Morris
6/12–6/13,Oregon Coast,OR,Scenic stop after Colfax
6/13–6/14,Olympia,WA,Visit Brian
6/14–6/15,Seattle,WA,Visit Troy (before his 6/20 camping)
6/15–6/17,Yellowstone,MT/WY,2-night park stay
6/17–6/18,Provo,UT,Visit Erin Lane (after blackout)
6/18–6/19,Salt Lake City,UT,Visit Brady Covington
6/19–6/21,Denver,CO,Visit Josh (music festival 6/19–6/22)
6/21–6/22,Fort Collins,CO,Visit Caleb Blakeman
6/22–6/26,Lincoln,NE,Visit Parents & Hayden (4 days)
6/26–6/27,Des Moines,IA,Midwest drive buffer
6/27–6/28,Chicago,IL,Lunch with Connor McBride
6/28–6/29,Terre Haute,IN,Visit Jack Lavey
6/29–6/30,Columbus,OH,Visit Cameron Hynes
6/30–7/1,Philadelphia,PA,City stop / route setup
7/1–7/2,Albany,NY,Visit Philip Dalton (optional)
7/2–7/3,Montpelier / Concord,VT/NH,Check off New England states
7/3–7/4,Bar Harbor,ME,Scenic East Coast top
7/4–7/7,Hartford,CT,Visit Deanna for July 4th holiday
7/7–7/8,Boston,MA,Wrap-up of Northeast cities
7/8–7/9,Providence,RI,Quick New England state check-in
7/9–7/10,Newark,NJ,Route southbound
7/10–7/11,Wilmington,DE,State visit
7/11–7/12,Harpers Ferry,WV,"Scenic stop, check off WV"
7/12–7/13,Raleigh,NC,Visit Brad Gross
7/13–7/18,Monroe,NC,Visit Nana & Pawpaw — Pawpaw’s birthday 7/21
7/18–7/19,Spartanburg,SC,Visit Max Mosley
7/19–7/20,Savannah,GA,Lowcountry drive-through
7/20–7/21,Sarasota,FL,Visit John & Sarah
7/21–7/22,Columbia,SC,Re-cross buffer
7/22–7/23,Atlanta,GA,Transit stop heading west
7/23–7/24,Jackson,MS,Southern swing
7/24–7/25,Little Rock,AR,Quick overnight
7/25–7/26,Oklahoma City,OK,Final out-of-state visit
7/26–7/27,Corpus Christi,TX,Home return — trip complete
7/27–7/28,New Orleans,LA,"Jazz, food, recharge"
7/28–7/29,Gulfport,MS,Coastal Mississippi overnight
7/29–7/30,Pensacola,FL,Panhandle drive + beach
7/30–7/31,Destin,FL,Beach chill day
7/31–8/1,Mobile,AL,Historic stop
8/1–8/2,Houston,TX,"Re-enter Texas, city break"
8/2–8/3,Marfa,TX,"Desert reset, artsy detour"
8/3–8/4,Corpus Christi,TX,Final return — trip ends at 60 days
